Name,Email,Subject,Classes
Sunita Sharma,sunita.sharma.cse@bmsce.ac.in,DST,"[3A,3B,3C,3D]" 
Ramesh Reddy,ramesh.reddy.cse@bmsce.ac.in,DST,"[3E,3F,3G,3H]" 
Kavitha Patel,kavitha.patel.cse@bmsce.ac.in,DST,"[3I,3J,3K,3L]" 
Suresh Singh,suresh.singh.cse@bmsce.ac.in,DST,"[3M,3N,3O,3P]" 
Meena Nair,meena.nair.cse@bmsce.ac.in,DST,"[3Q,3R,3S,3T]" 
Rajesh Rao,rajesh.rao.cse@bmsce.ac.in,DBMS,"[3A,3B,3C,3D]" 
Priya Gupta,priya.gupta.cse@bmsce.ac.in,DBMS,"[3E,3F,3G,3H]" 
Mahesh Iyer,mahesh.iyer.cse@bmsce.ac.in,DBMS,"[3I,3J,3K,3L]" 
Deepa Menon,deepa.menon.cse@bmsce.ac.in,DBMS,"[3M,3N,3O,3P]" 
Vijay Kumar,vijay.kumar.cse@bmsce.ac.in,DBMS,"[3Q,3R,3S,3T]" 
Neelam Sharma,neelam.sharma.cse@bmsce.ac.in,JAVA,"[3A,3B,3C,3D]" 
Harsha Reddy,harsha.reddy.cse@bmsce.ac.in,JAVA,"[3E,3F,3G,3H]" 
Latha Patel,latha.patel.cse@bmsce.ac.in,JAVA,"[3I,3J,3K,3L]" 
Prakash Singh,prakash.singh.cse@bmsce.ac.in,JAVA,"[3M,3N,3O,3P]" 
Asha Nair,asha.nair.cse@bmsce.ac.in,JAVA,"[3Q,3R,3S,3T]" 
Manoj Rao,manoj.rao.cse@bmsce.ac.in,COA,"[3A,3B,3C,3D]" 
Rekha Gupta,rekha.gupta.cse@bmsce.ac.in,COA,"[3E,3F,3G,3H]" 
Sanjay Iyer,sanjay.iyer.cse@bmsce.ac.in,COA,"[3I,3J,3K,3L]" 
Pooja Menon,pooja.menon.cse@bmsce.ac.in,COA,"[3M,3N,3O,3P]" 
Anil Kumar,anil.kumar.cse@bmsce.ac.in,COA,"[3Q,3R,3S,3T]" 
Sunita Sharma,sunita.sharma.cse@bmsce.ac.in,LD,"[3A,3B,3C,3D]" 
Ramesh Reddy,ramesh.reddy.cse@bmsce.ac.in,LD,"[3E,3F,3G,3H]" 
Kavitha Patel,kavitha.patel.cse@bmsce.ac.in,LD,"[3I,3J,3K,3L]" 
Suresh Singh,suresh.singh.cse@bmsce.ac.in,LD,"[3M,3N,3O,3P]" 
Meena Nair,meena.nair.cse@bmsce.ac.in,LD,"[3Q,3R,3S,3T]" 
Rajesh Rao,rajesh.rao.cse@bmsce.ac.in,USP,"[3A,3B,3C,3D]" 
Priya Gupta,priya.gupta.cse@bmsce.ac.in,USP,"[3E,3F,3G,3H]" 
Mahesh Iyer,mahesh.iyer.cse@bmsce.ac.in,USP,"[3I,3J,3K,3L]" 
Deepa Menon,deepa.menon.cse@bmsce.ac.in,USP,"[3M,3N,3O,3P]" 
Vijay Kumar,vijay.kumar.cse@bmsce.ac.in,USP,"[3Q,3R,3S,3T]" 
Neelam Sharma,neelam.sharma.cse@bmsce.ac.in,FWD,"[3A,3B,3C,3D]" 
Harsha Reddy,harsha.reddy.cse@bmsce.ac.in,FWD,"[3E,3F,3G,3H]" 
Latha Patel,latha.patel.cse@bmsce.ac.in,FWD,"[3I,3J,3K,3L]" 
Prakash Singh,prakash.singh.cse@bmsce.ac.in,FWD,"[3M,3N,3O,3P]" 
Asha Nair,asha.nair.cse@bmsce.ac.in,FWD,"[3Q,3R,3S,3T]" 
